customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
16,CUST-TPAC56T4,Albert,Nelson,james91@example.net,+61.431.767.690,62 Warner Circlet,,West Daniel,NT,2625,AU,-13.434629,145.437137,1963-07-31,2024-01-05T07:38:55,False,True
17,CUST-U5907IF2,Tyrone,Salazar,sschneider@example.org,(02)-5355-0443,59 Reynolds Chase,9/,New Tonyaside,ACT,2994,AU,-17.398859,129.291953,1982-04-06,2022-12-28T05:47:46,False,True
18,CUST-4I3QK2IA,Karla,Cooper,krodriguez@example.com,(03)47720411,20 Lisa Subway,Unit 76 ,Melissaborough,NSW,2667,AU,-34.50975,138.942233,1995-11-09,2023-09-18T01:00:17,True,True
19,CUST-8JDP0LVS,Jeremy,Baker,jordanmindy@example.net,4597.8791,1 Mary Mews,Flat 62 ,East Hunterton,QLD,2936,AU,-43.942497,150.874157,1977-09-04,2024-01-31T15:42:11,True,True
20,CUST-L4ZKLOOK,Barbara,Young,scalhoun@example.net,0464 102 923,Apt. 951 578 Wright Crest,Flat 78 ,Josephchester,NT,2618,AU,-13.304611,137.851626,1986-12-31,2024-07-21T19:56:59,False,True
21,CUST-2VLPYS28,Abigail,Graham,wardlance@example.org,07 1236 7225,Unit 76 022 Cochran Lookout,Level 1 ,Brittanybury,VIC,2507,AU,-22.945133,115.922262,1981-01-26,2023-06-25T08:10:44,False,True
22,CUST-9W1Q5UZN,Pamela,Howard,alvarezjames@example.net,08-8840-3851,792/20 Myers Place,89/,Maryshire,WA,2647,AU,-14.745021,149.189539,1998-02-21,2022-06-15T06:24:13,False,True
23,CUST-U7EEQTUL,Brittany,Ortiz,courtney65@example.net,08-3949-3328,8 Brianna Pocket,Suite 814 ,Port Calvin,NT,9358,AU,-29.490814,150.087899,2000-01-02,2021-10-13T17:16:56,False,True
24,CUST-J1RIPZIM,Robert,Howell,mduncan@example.net,3782-2429,8/009 Castro Subway,,Lake Wendyhaven,NSW,2920,AU,-38.804621,120.986021,1997-03-21,2024-07-27T12:02:49,False,True
25,CUST-P6VZ41NA,Andrea,Davis,amy42@example.net,0913 1116,02 Tracy Loop,337/,East Kristinafurt,SA,2650,AU,-29.753276,143.395658,1979-10-14,2025-06-22T07:59:20,False,True
26,CUST-Y20479T6,Brandy,Cruz,crossjoseph@example.net,+61.7.4307.5929,5/203 Charles Key,,West Sabrinaburgh,QLD,2970,AU,-14.527054,119.632619,1983-05-04,2024-04-01T11:55:06,False,True
27,CUST-N13JCAT9,Sonya,Collier,udavis@example.org,08 0790 6314,Apt. 077 925 Alejandra Glen,Flat 87 ,Brayshire,NT,2679,AU,-18.356071,151.883693,1977-11-19,2020-03-24T22:37:19,False,True
28,CUST-UHZ1GV0E,Shelby,Chavez,trevorwebb@example.org,(03)-7945-1526,70/52 Brian Deviation,,Port Mackenzieside,VIC,2732,AU,-33.393454,140.448586,1993-09-02,2024-06-12T07:13:15,True,True
29,CUST-D14VE92M,Angela,Kennedy,smithsharon@example.com,+61289851430,35 Nichols Chase,,Stephenshire,NSW,2619,AU,-15.114429,146.537899,1969-06-20,2024-11-10T13:11:12,False,True
30,CUST-P08J3TRP,Sara,Graves,iwerner@example.org,0755867878,Level 1 47 Winters Gardens,Unit 13 ,East Vincentborough,TAS,2666,AU,-41.053461,149.02851,1981-11-16,2025-03-18T20:44:51,False,True
31,CUST-4GH2M5ZJ,Hannah,Riddle,amber61@example.net,03-7896-6782,09 Tyler Lane,Flat 22 ,Lake Lesliefurt,VIC,7976,AU,-27.388353,143.842915,2002-09-17,2025-07-03T16:19:03,False,True
32,CUST-YLURTP0L,Brenda,Harrison,ujones@example.com,+61313470618,Suite 124 3 Michele Grove,,St. Amberside,NT,2920,AU,-37.452134,117.021299,1976-08-10,2022-02-23T07:52:41,False,True
33,CUST-1V93KMKZ,James,Davis,smithmelinda@example.net,,,,North Joseph,ACT,2948,AU,-11.900953,138.790526,2004-01-15,2021-02-24T00:26:47,False,True
34,CUST-GB7R3OCW,Lisa,Thompson,andrewingram@example.org,+61.441.567.679,Unit 94 62 Galloway Walk,,Rachelland,TAS,2962,AU,-10.206784,116.974966,1997-05-03,2022-07-13T19:01:34,False,True
35,CUST-VPUC8D1W,Lindsey,Torres,sullivanjeffrey@example.com,+61-402-621-524,Flat 34 671 Jerry Ronde,49/,St. Andrewbury,SA,2920,AU,-38.677891,129.157738,2002-02-27,2023-04-07T01:11:18,False,True
36,CUST-QY72WX7P,Janice,Allen,mdavis@example.net,+61-3-8057-2014,8 Scott State Highway,Level 5 ,South Shaneshire,NT,2530,AU,-41.572066,118.968757,1987-08-06,2023-03-28T15:59:20,True,True
37,CUST-7SRCBPLJ,David,Freeman,jenkinsdenise@example.org,4831 0930,72 Brown Wynd,577/,Lake Christopherborough,SA,2629,AU,-11.673267,153.982042,1984-03-06,2020-06-13T06:22:42,False,True
38,CUST-GVWRDMLY,Tonya,Walker,coopertracy@example.org,4638 2967,695/58 Donna Viaduct,,Claudiahaven,ACT,2601,AU,-11.86342,146.169773,1963-04-17,2025-02-05T03:12:22,False,True
39,CUST-OS9XTOGN,Christopher,Allen,chelseawatson@example.com,(07)-1999-3335,957 Tony Ring,,West Juliestad,NSW,0252,AU,-25.326532,150.962256,1999-04-22,2025-06-08T04:25:15,True,True
40,CUST-ZLAOI4E8,Rebecca,Case,uwood@example.com,(07) 4505 9496,Flat 90 914 Mitchell Alley,,Brianport,WA,2920,AU,-20.016005,129.450594,2003-04-15,2025-04-18T08:52:26,False,True
41,CUST-V0EC14M2,Lauren,Lozano,sanderskaren@example.org,,40 Tyler Alleyway,Flat 63 ,East Christopherview,WA,1476,AU,-24.282605,139.717512,1973-05-01,2025-01-03T19:36:32,False,True
42,CUST-N759IN4O,Jeff,Baldwin,wbrown@example.com,03 3221 8050,859 Dunlap Reserve,,St. Jamesberg,NSW,0837,AU,-10.393924,145.280534,1973-08-24,2025-07-21T01:20:52,True,True
43,CUST-D4D6AF58,Cassandra,Juarez,dustinsanders@example.net,+61 496 033 115,05 Robles Cruiseway,Level 5 ,Lake Stephanieville,ACT,2271,AU,-30.485567,115.373243,1989-06-23,2024-04-05T11:31:45,False,True
44,CUST-TWIYKID9,Dustin,Tran,ctorres@example.net,0810182880,00 Munoz Riverway,,Martinland,ACT,2623,AU,-33.818153,113.215784,1989-02-06,2020-08-17T10:40:52,False,True
45,CUST-OYGGVNYR,Nathan,Hess,madeline40@example.com,(08).9199.8307,760 Joshua Spur,,St. Anthonymouth,SA,2967,AU,-21.327416,149.754158,2001-09-27,2023-03-24T19:54:03,False,True
46,CUST-VXPJ4HNR,Julie,Castro,jareddixon@example.com,5965.1155,79 Harold Lookout,Flat 45 ,Royville,TAS,2932,AU,-33.962154,153.073668,1995-07-05,2023-01-29T00:17:41,False,True
47,CUST-BVR6K2VM,Erik,Hess,dross@example.net,+61 453 315 141,Apt. 109 6 Newman Way,Flat 84 ,Kelleychester,SA,8531,AU,-21.587828,147.210159,1968-09-18,2020-06-10T11:14:52,False,False
48,CUST-E6LOH25N,Ryan,Mckenzie,juliepayne@example.org,+61 7 3363 3341,00 Jasmine Broadway,4/,Chavezhaven,TAS,2891,AU,-11.897614,152.630131,1986-06-24,2023-10-19T04:11:35,False,True
49,CUST-IYYO4UDO,Samuel,Johnson,mark05@example.com,08.0132.9647,9/31 Victoria Steps,Level 6 ,Lake Christopherton,QLD,2811,AU,-35.086512,128.003071,1993-04-29,2021-03-19T08:30:47,False,True
50,CUST-LVXWQZXE,Alexander,Alexander,mary98@example.com,,Apt. 373 502 Wood Place,,South Jasonland,SA,2698,AU,-36.016799,134.576957,1994-11-13,2025-02-01T13:30:29,False,True
51,CUST-P0FODRO8,Megan,Fletcher,lori34@example.org,02-2648-2563,787 Mark Glade,Unit 74 ,Laurashire,TAS,2570,AU,-14.914693,116.172894,1992-12-14,2024-01-09T02:12:16,False,True
52,CUST-4QXXVA2I,Danny,Navarro,teresawillis@example.com,+61.3.5853.5259,,Level 9 ,Clarkton,NT,2695,AU,-36.956649,121.069957,1980-11-25,2023-09-07T05:22:20,False,True
53,CUST-99T2D5EM,Katelyn,Coleman,susanmartinez@example.net,(08)64314830,,,Harveyview,SA,2502,AU,-39.69021,129.680343,1970-03-13,2020-09-17T17:20:22,False,True
54,CUST-QHW06XKX,Richard,Moore,carpentertiffany@example.org,03.6441.5929,Suite 680 81 Gomez Ramp,,West Rachaelburgh,SA,2973,AU,-40.329298,141.920855,1999-10-17,2020-10-28T02:56:29,False,True
55,CUST-WVZNVKSP,Travis,Alvarez,julie92@example.org,08.2592.8623,Flat 33 53 Best Access,25/,Harristown,ACT,2974,AU,-25.254602,148.350677,1998-08-01,2025-01-23T08:19:09,False,True
56,CUST-0LLJ8YRD,Anna,Davis,apeterson@example.org,0443-041-831,Flat 83 479 Kristin Gardens,,St. Crystalfort,SA,2843,AU,-39.576075,114.519201,1989-07-28,2021-05-15T14:57:25,False,True
57,CUST-5Z8VMUHX,Anne,Davis,ttaylor@example.org,(03)-5467-4432,064 Taylor Ground,,East Megan,VIC,0952,AU,-18.071409,136.1122,1998-07-01,2020-04-17T22:10:22,False,True
58,CUST-GZLMA5UO,Christina,Leonard,cameronschultz@example.com,0244628567,,Flat 54 ,St. Robert,QLD,0903,AU,-36.685482,129.632965,1990-08-01,2021-10-06T13:28:23,False,True
59,CUST-V5F1BCPP,Adrian,May,rgross@example.com,+61 451 505 319,Apt. 276 13 Joseph Subway,Level 2 ,West Kimberly,NSW,2930,AU,-32.264123,116.65737,2003-08-28,2023-06-17T01:39:12,False,True
60,CUST-H811KERP,Amanda,Walsh,virginiaolson@example.net,5251.9031,Unit 74 8 David Arcade,8/,Nicoleside,WA,2673,AU,-21.286362,126.875021,1995-08-16,2020-06-22T15:52:56,True,True
61,CUST-UUZPEAL2,Courtney,Giles,hoffmanmatthew@example.org,+61 7 2521 7368,2 Stevens Brow,,Port Peterberg,QLD,2629,AU,-15.287532,122.219292,1995-12-04,2020-11-18T14:24:33,False,True
62,CUST-2CWTG1M8,Douglas,Hansen,caitlinbarrera@example.net,(08)-4584-7558,223 William Park,,North Ashleyfort,ACT,2660,AU,-38.101033,118.420531,1966-10-05,2021-12-26T22:51:46,False,True
63,CUST-Q7UWW5WF,Erin,Campbell,zgates@example.com,3535-6745,81 Kimberly Crossway,,West Yvonneside,NSW,2619,AU,-42.090148,133.308149,1987-11-06,2025-03-06T16:27:13,True,True
64,CUST-X9DVNU80,John,Wilson,brandongonzalez@example.org,+61 2 4981 7317,8 Frank Row,,South Mathew,NT,2946,AU,-23.429802,133.057427,1965-07-20,2025-01-19T03:46:06,False,True
65,CUST-DXBZ9SVN,Megan,Grimes,murphydouglas@example.com,(08)-6540-7416,055 Christopher Link,587/,Kennethburgh,SA,2670,AU,-42.219572,138.497236,1990-01-08,2020-09-26T12:00:13,True,True
66,CUST-0X65MUFM,Alexander,Evans,chad93@example.net,07.5157.2295,928 Cooper Hill,Suite 031 ,New Amanda,WA,7013,AU,-12.107925,125.002439,1993-10-17,2023-09-07T04:39:10,False,True
67,CUST-YSXPNNGH,Claire,Ramos,amandapatel@example.com,+61-427-898-374,6/227 Jill Firetrail,,Troyburgh,TAS,3384,AU,-41.376387,147.465992,1969-01-27,2020-06-03T12:15:40,False,True
68,CUST-FGYW6ZBN,Stacey,Collins,richard33@example.com,8199-7617,4 Santiago Frontage,Apt. 385 ,North Courtney,NT,0293,AU,-17.350788,121.828124,1981-06-16,2023-06-21T17:04:34,False,True
69,CUST-UP12SPFH,Michelle,Strickland,ryanbaldwin@example.net,36238588,,,Traceyville,VIC,7094,AU,-31.378788,151.240329,1971-03-09,2023-03-13T03:03:13,False,True
70,CUST-FP8HQMAB,Donald,Nichols,roylucas@example.net,(03)-9804-4223,837/8 Evans Rise,,Joycechester,NSW,0858,AU,-43.041623,151.094688,1990-01-29,2021-08-21T05:00:35,True,True
71,CUST-31QW6AHF,Laura,Collier,mitchell04@example.net,(07)-8899-6148,841 Anderson Siding,Unit 15 ,Alexanderburgh,QLD,2619,AU,-35.920232,117.11763,1981-05-23,2024-09-15T23:15:48,False,True
72,CUST-6VASIFPW,Stephen,Walters,reginaldrobbins@example.com,07.5254.8376,010 Powers Steps,,Port Hunter,QLD,2904,AU,-10.861747,114.842532,2005-07-07,2020-03-24T14:12:57,False,False
73,CUST-N0MCIXDU,Mark,Gould,amandacook@example.net,0442 464 719,Flat 96 13 Foley Loop,,Allisonmouth,NSW,5063,AU,-22.144949,146.876114,2001-09-06,2025-05-14T23:00:02,False,True
74,CUST-7BH25LLO,Mariah,Woods,christensenemily@example.org,+61-7-5841-2122,,Flat 24 ,Williamton,NSW,2580,AU,-34.27223,148.209818,1964-04-15,2023-09-21T09:56:51,True,True
75,CUST-06N9RR7S,Jack,Williams,davidfox@example.net,0429-725-588,828 Sloan Driveway,Apt. 067 ,South Wendyhaven,VIC,0851,AU,-16.040396,134.909925,1988-10-25,2021-02-24T02:54:54,False,True
76,CUST-ZFPQ06WP,Amanda,Perry,beth83@example.com,0431-749-952,,Unit 44 ,South Angela,TAS,2994,AU,-30.188852,133.549613,1974-05-09,2020-05-07T05:11:54,False,True
77,CUST-EIXN8BFQ,Christopher,Conley,florescaleb@example.org,+61-8-5094-9172,Flat 07 260 Rodriguez Colonnade,,Heatherstad,WA,2667,AU,-31.523702,125.204189,1985-01-01,2022-10-19T04:07:49,True,True
78,CUST-6E1ZHWY9,Allen,Oneill,janiceelliott@example.net,0454 007 080,Unit 12 51 Christopher Crossroad,,Lake Stevenland,NT,8079,AU,-19.745424,153.885021,1988-09-02,2023-11-24T02:21:51,False,True
79,CUST-FZZGNI92,Scott,Gonzalez,rkelly@example.com,02 6186 5071,Apt. 364 0 Jarvis Brow,Flat 36 ,New James,TAS,2922,AU,-28.108201,153.286502,1971-08-23,2020-12-19T02:23:37,False,True
80,CUST-S13C9XQY,Mary,Cooper,jill22@example.net,0477.842.674,4 Perez Ridge,Suite 560 ,Allenton,TAS,2621,AU,-37.813253,152.583114,1998-10-24,2025-08-21T02:01:03,False,True
81,CUST-F7I8SKCH,David,Sanders,julieburns@example.com,(08).7618.0773,908/071 Caroline Glen,Suite 028 ,Evansmouth,QLD,2925,AU,-40.823434,138.921472,1973-10-31,2021-12-02T23:59:01,False,True
82,CUST-7B5C81JH,James,Evans,sstevenson@example.com,08 5100 7638,,Suite 044 ,Lake Shannonbury,ACT,2693,AU,-25.450366,138.960106,1987-02-07,2025-06-01T08:54:56,False,True
83,CUST-CCPRHVLZ,Samantha,Moore,fcrane@example.net,+61 2 4694 6120,365 Holt Arcade,,Jasminehaven,NT,2689,AU,-31.401633,135.589351,1988-08-17,2022-09-17T16:59:01,True,True
84,CUST-B85P8637,Cory,Simmons,apriltrujillo@example.org,07-8993-8801,Apt. 170 109 Jessica Corso,Unit 94 ,East Andrea,SA,2987,AU,-28.128286,148.921178,2004-08-14,2020-04-04T03:16:42,False,True
85,CUST-HMBR5XQT,Emily,Boyd,bobmiller@example.net,+61.480.735.532,42/5 Angela Quadrangle,7/,Matthewport,NSW,2653,AU,-18.02887,127.369369,1995-12-09,2020-07-28T20:45:47,False,True
86,CUST-NQT3WVED,Christina,Simmons,shannonmoore@example.org,2997.8930,3 Hodges Cross,,Oliviastad,NT,2937,AU,-39.09491,137.303444,1996-01-04,2025-08-10T01:27:56,True,True
87,CUST-RQVSLWF9,Sandra,Murphy,jimenezkenneth@example.net,0469.829.190,Level 8 6 Johnson Turn,Flat 69 ,Jennifertown,WA,2621,AU,-25.900446,141.767072,1986-11-23,2025-04-29T00:36:20,False,True
88,CUST-V20YAR82,Shannon,Nash,reidkelly@example.net,6957-7530,4 Riley Rosebowl,Suite 666 ,Richardville,ACT,3026,AU,-38.20259,138.41906,1994-02-09,2021-08-28T08:49:05,True,True
89,CUST-ALFYO175,Brian,Smith,lisabarnes@example.com,,46 Michael Bend,,Fritzton,SA,2670,AU,-32.948316,139.813526,1993-10-21,2023-07-09T06:18:19,False,True
90,CUST-Y5Y2JR8K,Edward,Webb,mpayne@example.net,0449-238-743,012/60 Nichols Row,Flat 71 ,South Mitchell,NT,2313,AU,-20.033368,140.990076,2003-11-14,2023-07-22T17:28:08,False,True
91,CUST-JEYN9382,David,Kelley,nicole64@example.net,+61745684473,Level 3 1 Turner Right Of Way,,St. Saraton,WA,2673,AU,-28.959212,122.770647,2002-12-24,2022-05-26T07:21:25,False,True
92,CUST-JD0IB6II,Susan,Singh,valentinedavid@example.net,+61760190676,Flat 87 22 Taylor Gates,591/,Nicholasshire,NSW,2744,AU,-39.326121,152.509788,1974-03-03,2024-07-24T23:46:15,False,True
93,CUST-H8LX6DUT,Robyn,Fitzpatrick,paulmccullough@example.com,+61.2.7697.3087,927 Lisa Quadrant,,East Alicia,TAS,3740,AU,-14.003671,119.383126,1963-04-05,2024-06-14T18:02:10,False,True
94,CUST-KBKV7MQX,Carrie,Lin,catherinepatrick@example.org,0473 190 465,Unit 37 7 Michael Siding,94/,Shawnfurt,ACT,2619,AU,-34.723539,145.970183,1989-08-31,2021-10-27T16:42:30,False,True
95,CUST-MKYGVWOP,Brandon,Holmes,wpatterson@example.org,08.7755.8729,70/0 Velazquez Circlet,Level 7 ,East Dennis,ACT,6796,AU,-27.766561,151.304666,1960-08-11,2022-12-04T13:57:55,False,True
96,CUST-K0AXYCEL,Tracy,Anderson,uwalker@example.org,0452 891 097,Level 6 2 Nicole Trailer,Flat 25 ,New Olivia,QLD,1940,AU,-33.42675,116.931461,1986-06-20,2024-02-14T22:22:40,False,True
97,CUST-Q9NZ6123,Richard,Miles,pware@example.com,+61.3.2921.4161,Level 8 8 Hanson Centreway,Apt. 258 ,New Nicholaston,NSW,2992,AU,-26.132774,134.183271,1992-06-15,2020-11-15T20:32:26,True,True
98,CUST-HTF4PYZR,Tyler,Rios,joseph93@example.net,+61 8 8234 1436,,,Mccannberg,NSW,2831,AU,-29.875564,135.68427,2001-06-25,2023-06-16T00:47:33,False,True
99,CUST-UBMC97C7,Dawn,Johnson,matthew77@example.org,(07)84577472,964 David Gap,0/,Glendaside,TAS,2036,AU,-10.736668,139.126994,1997-09-17,2024-03-13T13:55:32,False,True
100,CUST-C85E4E9O,Gregory,Freeman,harrismary@example.com,0316512823,824/286 Kimberly Gap,5/,St. Zachary,SA,2658,AU,-10.731317,131.446164,1998-01-18,2024-04-02T08:21:42,False,True
101,CUST-70E3P15A,Matthew,King,victoriathomas@example.org,0456.474.865,,4/,Peterberg,VIC,2657,AU,-20.088267,114.044405,1963-12-20,2024-07-05T15:58:55,False,True
102,CUST-CSK30LVY,Alisha,Floyd,hugheskelly@example.com,+61-466-059-278,816/81 Elizabeth Hill,Suite 743 ,Lake Jenniferport,ACT,2953,AU,-36.484547,124.62104,1965-06-20,2021-12-18T22:47:30,False,True
103,CUST-MXNSZOKG,Sarah,Cooper,sandra74@example.org,+61-440-650-365,82 Amy Highway,415/,Austinstad,SA,2672,AU,-39.092041,131.447057,1965-03-03,2024-08-17T15:09:52,False,True
104,CUST-HX74D0GJ,Lori,Phillips,sean43@example.net,+61 3 6207 5516,Level 8 14 Tabitha Rue,,Rodriguezmouth,NSW,2911,AU,-18.102322,142.42082,1979-06-21,2025-05-17T07:36:19,False,True
105,CUST-A78E9RIV,Henry,Moore,derrickbuchanan@example.org,+61208381699,Suite 920 2 Young Reach,Apt. 694 ,St. Matthewside,TAS,2985,AU,-31.057501,134.413305,1992-03-25,2023-06-17T09:31:23,False,True
106,CUST-201LHLB5,Lisa,Williams,peggy59@example.org,,Apt. 919 6 Lynn Roadside,Level 2 ,Alvaradotown,NT,2919,AU,-19.519594,124.398076,1977-08-07,2023-09-13T08:22:29,False,True
107,CUST-XYJ38XRG,Kelsey,King,hjohnson@example.com,0441 395 156,40 Amy Quadrant,,Michaelstad,VIC,6064,AU,-12.825421,134.769748,1965-04-08,2020-05-18T02:42:22,False,True
108,CUST-O4IZASNW,Betty,Miller,xandersen@example.org,03.6197.6316,6 Ronald Byway,,Jonathanview,ACT,8773,AU,-43.77518,135.16903,1961-01-23,2020-03-09T19:16:31,False,True
109,CUST-SZP7G7SI,Brittany,Wiggins,owenmichael@example.org,2675 0751,872 Martinez Triangle,332/,Romeroborough,NSW,2733,AU,-41.313346,152.290507,2001-03-06,2022-09-23T08:13:23,False,True
110,CUST-9XBONRWZ,Brian,Cook,emilyevans@example.com,+61.7.3665.4029,0/488 Atkinson Park,,Port Mitchell,QLD,8012,AU,-10.770806,152.901269,1963-10-26,2022-07-30T07:41:50,False,True
111,CUST-J7YKTXG4,Angela,Rose,holtkayla@example.com,+61788400343,789 Kenneth Extension,809/,North Jessica,SA,2933,AU,-16.089319,151.012747,1986-11-06,2021-10-27T20:31:59,False,True
112,CUST-6L1F90S9,Richard,Davis,bakergregory@example.org,08 3492 9309,7/668 Mario Follow,,New Chelseabury,QLD,2931,AU,-17.853808,152.104053,1995-08-04,2023-08-29T01:04:43,False,True
113,CUST-ITNGVN1K,Laura,Carpenter,huntersarah@example.com,+61-467-829-314,4 Kelly Dip,,Wyattton,ACT,2613,AU,-17.34773,118.479629,1994-12-15,2023-07-21T13:07:57,True,False
114,CUST-MJEGQTOA,Lisa,Archer,lesliemiller@example.org,4503 1202,Apt. 707 86 Monique Extension,,Veronicatown,SA,2917,AU,-30.901911,124.257589,1994-10-16,2020-12-12T20:22:19,False,True
115,CUST-GNEKRCPP,Lacey,Lopez,pjordan@example.net,2275-9878,55/532 Natalie Brae,,New Kathrynfort,TAS,8273,AU,-22.748855,136.939869,1977-07-17,2025-02-18T03:53:41,True,False
116,CUST-4N5PP3XV,Edward,Durham,emartin@example.org,02.2234.4389,5/938 Donald Roadside,,Shannonbury,ACT,8998,AU,-37.960333,128.726062,1988-08-18,2023-04-08T23:02:35,False,True
117,CUST-N3OEUVTY,Sarah,Warren,uwarner@example.org,(07)-4831-3498,1 Russell Top,Level 9 ,North Jennifer,TAS,2619,AU,-29.092532,124.235911,1966-03-16,2024-08-02T18:10:44,True,True
118,CUST-FPNQVUT7,Patricia,Hill,davidstewart@example.org,07.2690.3749,,Level 4 ,Mackenziemouth,WA,2637,AU,-20.144434,146.116473,1967-08-16,2021-03-23T09:02:16,False,True
119,CUST-B9YO18PA,Vincent,Mueller,denise02@example.org,+61.404.187.707,7 Henry Avenue,Apt. 347 ,Josephview,NT,2784,AU,-24.441996,130.722699,1995-02-02,2025-03-11T21:25:47,False,True
120,CUST-RK7D30MM,Ray,Fisher,bryannicholas@example.com,8800.5530,75/92 Andrew Footway,,Heatherburgh,NSW,6722,AU,-19.452206,131.002782,1966-01-10,2023-05-14T01:37:36,False,True
121,CUST-XYF9IGFU,Jessica,Peterson,crawfordsylvia@example.net,13278879,Apt. 977 76 Mark Mount,,Gibbsland,TAS,2696,AU,-22.223718,130.149647,1962-08-14,2022-03-19T16:22:06,False,True
122,CUST-H13CD5GL,Brady,Beck,james98@example.net,0200117960,6 Kelly Expressway,Unit 69 ,Ericaport,ACT,2930,AU,-22.270308,137.072775,1995-03-20,2021-04-12T12:40:03,False,True
123,CUST-Y27VYLIE,Mary,Merritt,williamszachary@example.net,5658-8766,2 Moreno Walk,0/,Jamesbury,NSW,2636,AU,-24.456594,129.767629,2003-08-30,2021-12-10T20:12:13,False,True
124,CUST-4W58RHNU,Tiffany,White,sandersemily@example.org,+61.422.425.785,Flat 99 2 Megan Sound,Unit 90 ,Reedchester,NT,3181,AU,-28.909041,119.024646,1962-10-08,2022-06-22T10:38:04,True,True
125,CUST-2U1RSUJT,Tiffany,Barry,torresduane@example.com,0403.068.072,298 Grimes Parade,20/,Heatherville,SA,7680,AU,-28.993536,121.178761,1998-02-21,2021-02-23T23:47:58,False,True
126,CUST-QM3P91I3,Melinda,Beasley,reyeskristin@example.org,08 4793 0426,365 Daniel Grove,Apt. 583 ,Pamelamouth,NT,2491,AU,-38.356625,117.847869,1978-07-15,2022-04-27T02:09:40,False,True
127,CUST-G9KU8S63,Nicole,Estrada,sara37@example.net,+61.2.1265.8149,54/460 Henry State Highway,,Stevenbury,ACT,2941,AU,-34.571,139.547644,1971-11-27,2022-10-19T05:19:28,False,True
